signal,r2_score,equation,latex
yhat_ess1_up,1.0,x19,x_{19}
yhat_ess1_down,0.9999325393164026,sqrt(x20),\sqrt{x_{20}}
yhat_ess2_up,0.975288580309011,square(x20),x_{20}^{2}
yhat_ess2_down,0.9853046651402548,x19 + ((x19 / (x14 - square((x8 + 0.4807294) - (x14 * 1.3929163)))) / 0.9259921),x_{19} + \frac{x_{19}}{0.9260 \left(x_{14} - \left(- 1.393 x_{14} + x_{8} + 0.4807\right)^{2}\right)}
yhat_ess3_up,0.949453636801956,x20 + abs(square((x19 * 0.3418984) + ((((1.0582619 / x6) - 1.2214626) + x12) * -4.724853)) / abs(sqrt(x12))),x_{20} + \left|{\frac{\left(4.725 x_{12} - 0.3419 x_{19} - 5.771 + \frac{5.000}{x_{6}}\right)^{2}}{\left|{\sqrt{x_{12}}}\right|}}\right|
yhat_ess3_down,0.9777879238369735,abs(((0.46377304 / ((0.46377304 * x10) - (x20 / (x12 / 3.7431345)))) - 1.0598879) * x19),\left|{x_{19} \left(1.060 - \frac{0.4638}{0.4638 x_{10} - \frac{x_{20}}{\frac{1}{3.743} x_{12}}}\right)}\right|
yhat_ess4_up,0.9237583975877031,x20 + (x8 / square(((x6 * (x17 / 0.21958663)) - (x8 + ((x17 - (x20 / abs(-0.047591332 / x16))) + x7))) - 1.2018304)),x_{20} + \frac{x_{8}}{\left(\frac{x_{17} x_{6}}{0.2196} - \left(x_{17} - \frac{x_{20}}{0.04759 \frac{1}{\left|{x_{16}}\right|}} + x_{7} + x_{8}\right) - 1.202\right)^{2}}
yhat_ess4_down,0.9571418249227224,(x12 * x20) * sqrt(x23 + 3.1349056),x_{12} x_{20} \sqrt{x_{23} + 3.135}
yhat_ess5_up,0.9854470729088501,x19 + abs(sqrt(x10) / (((x19 + 0.22754987) * x22) + (((2.6383564 - (x10 - x15)) * x15) * -0.5227047))),x_{19} + \left|{\frac{\sqrt{x_{10}}}{0.5227 x_{15} \left(- x_{10} + x_{15} + 2.638\right) - x_{22} \left(x_{19} + 0.2276\right)}}\right|
yhat_ess5_down,0.9846730042051403,x20 - (0.40040523 * square(x20 * (0.40040523 / ((x7 * 0.6583265) - x17)))),x_{20} - 0.4004 \frac{0.1603 x_{20}^{2}}{\left(- x_{17} + x_{7} \cdot 0.6583\right)^{2}}
yhat_sop1_fwd,0.8729473201577497,abs(sqrt(abs(0.18837182 - x13)) * (x13 - (x20 * 2.114027))),\sqrt{\left|{x_{13} - 0.1884}\right|} \left|{x_{13} - 2.114 x_{20}}\right|
yhat_sop1_rev,0.7159779831182242,(3.1770074 - (163.06245 / x7)) - x13,- x_{13} + 3.177 - \frac{163.1}{x_{7}}
yhat_sop2_fwd,0.9014270727097088,(x19 * x23) / abs(x13 / ((-1.2840545 / x6) + 1.3180605)),\frac{x_{19} x_{23}}{\left|{\frac{x_{13}}{1.318 - \frac{1.284}{x_{6}}}}\right|}
yhat_sop2_rev,0.3659004930553822,x8 * 0.010850728,x_{8} \cdot 0.01085
yhat_pv1,1.0,x19,x_{19}
yhat_pv2,1.0,x19,x_{19}
yhat_pv3,1.0,x19,x_{19}
yhat_pv4,1.0,x19,x_{19}
yhat_pv5,1.0,x20,x_{20}
yhat_pv6,0.9644647756184083,sqrt(x20 * abs((21.028105 / x11) + -20.065475)),\sqrt{x_{20}} \sqrt{\left|{20.07 - \frac{21.03}{x_{11}}}\right|}
yhat_wt1,1.0,x19,x_{19}
yhat_wt2,1.0,x19,x_{19}
yhat_wt3,1.0,x20,x_{20}
yhat_wt4,1.0,x20,x_{20}
yhat_wt5,1.0,sqrt(x20),\sqrt{x_{20}}
yhat_wt6,1.0,x19,x_{19}
